Arber Xhekaj
Juraj Slafkovsky
Kirby Dach
Samuel Montembault
Cole Caufield
Patrik Laine
Jakub Dobes
Alexandre Carrier
Alexandre Texier
Ivan Demidov
Lane Hutson
Zachary Bolduc
Jake Evans
Phillip Danault
Noah Dobson
Kaiden Guhle
Oliver Kapanen
Nick Suzuki
Josh Anderson
Joe Veleno
Jayden Struble
Mike Matheson
Brendan Gallagher
Alex Newhook



Viktor Arvidsson
Jonathan Aspirot
Mikey Eyssimont
Morgan Geekie
Jordan Harris
Tanner Jeannot
Henri Jokiharju
Mark Kastelic
Marat Khustnutdiov
Joonas Korpisalo
Sean Kuraly
Elias Lindholm
Hampus Lindholm
Mason Lohrei
Charlie McAvoy
Fraser Minten
Casey Mittelstadt
David Pastrnak
Andrew Peeke
Alex Steeves
Jeremy Swayman
Pavel Zacha
Nikita Zadorov



Simon Benoit
Matthew Knies
Brandon Carlo
Easton Cowan
Max Domi
Oliver Ekkman-Larsson
Calle Jarnkrok
Dakota Joshua
Scott Laughton
Steve Lorentz
Matias Maccelli
Auston Matthews
Jake McCabe
Bobby McMann
Philippe Myers
William Nylander
Morgan Rielly
Nicholas Robertson
Nicolas Roy
Troy Stecher
Anthony Stolarz
Christopher Tanev
John Tavares
Joseph Woll



Michael Amadio
Drake Batherson
Thomas Chabot
Nick Cousins
Dylan Cozens
Lars Eller
Claude Giroux
Ridly Greig
Nick Jensen
Tyler Kleven
Kurtis MacDermid
Nikolas Matinpalo
David Perron
Shane Pinto
James Reimer
Jake Sanderson
Jordan Spence
Tim Stutzle
Brady Tkachuk
Linus Ullmark
Fabian Zetterlund
Artem Zub



Jonathan Beggren
Jordan Binnington
Thomas Bordeleau
Philip Broberg
Pavel Buchnevich
Dalibor Dvorsky
Robby Fabbri
Justin Faulk
Jack Finley
Cam Fowler
Joel Hofer
Dylan Holloway
Mathieu Joseph
Matthew Kessel
Jordan Kyrou
Logan Mailloux
Jake Neighbours
Colton Parayko
Brayden Schenn
Jimmy Snuggerud
Oskar Sundqvist
Pius Suter
Robert Thomas
Alexey Toropchenko
Tyler Tucker
Nathan Walker



Mikael Backlund
Kevin Bahl
Jake Bean
John Beecher
Blake Coleman
Devin Cooley
Matt Coronato
Joel Farabee
Morgan Frost
Joel Hanley
Samuel Honzek
Jonathan Huberdeau
Nazem Kadri
Adam Klapka
Yan Kuznetsov
Ryan Lomberg
Brayden Pachal
Zayne Parekh
Martin Pospisil
Yegor Sharangovich
MacKenzie Weegar
Zach Whitecloud
Dustin Wolf
Connor Zary



Rodrigo Abols
Denver Barkey
Bobby Brink
Noah Cates
Sean Couturier
Nicolas Deslauriers
Christian Dvorak
Tyson Foerster
Nikita Grebenkin
Carl Grundstrom
Garnet Hathaway
Travis Konecny
Matvei Michkov
Owen Tippett
Trevor Zegras
Emil Andrae
Jamie Drysdale
Adam Ginning
Noah Juulsen
Nick Seeler
Cam York
Samuel Ersson
Dan Vladar



Mason Appleton
J.T. Compher
Andrew Copp
Alex DeBrincat
Emmitt Finnie
Patrick Kapanen
Marco Kasper
Dylan Larkin
Michael Rasmussen
Lucas Raymond
Elmer Soderblom
James van Riemsdyk
Jacob Bernard-Docker
Ben Chiarot
Simon Edvinsson
Erik Gustafsson
Travis Hamonic
Albert Johansson
Axel Sandin-Pellikka
Moritz Seider
John Gibson
Cam Talbot



Connor Bedard
Tyler Bertuzzi
Andre Burakovsky
Colton Dach
Jason Dickinson
Ryan Donato
Nick Foligno
Ryan Greene
Sam Lafferty
Ilya Mikheyev
Oliver Moore
Frank Nazar
Landon Slaggert
Teuvo Teravainen
Louis Crevier
Matt Grzelcyk
Wyatt Kaiser
Kevin Korchinski
Artyom Levshunov
Connor Murphy
Sam Rinzel
Alex Vlasic
Spencer Knight
Arvid Soderblom



Matt Boldy
Joel Eriksson Ek
Marcus Foligno
Ryan Hartman
Vinnie Hinostroza
Marcus Johansson
Kirill Kaprizov
Nico Sturm
Vladimir Tarasenko
Yakov Trenin
Danila Yurov
Mats Zuccarello
Zach Bogosian
Jonas Brodin
Brock Faber
Quinn Hughes
Daemon Hunt
Jake Middleton
David Spacek
Jared Spurgeon
Filip Gustavsson
Jesper Wallstedt



Nils Aman
Teddy Blueger
Brock Boeser
Filip Chytil
Jake DeBrusk
Conor Garland
Nils Hoglander
David Kampf
Evander Kane
Linus Karlsson
Drew O'Connor
Liam Ohgren
Elias Pettersson
Aatu Raty
Marco Rossi
Max Sasson
Zeev Buium
Derek Forbort
Filip Hronek
Pierre-Olivier Joseph
Tyler Myers
Marcus Pettersson
Tom Willander
Thatcher Demko
Aku Koskenvuo
Keviin Lankinen
Jiri Patera



Brendan Brisson
Jonny Brodzinski
Sma Carrick
Will Cuylle
Adam Edstrom
Noah Laba
Alexis Lafreniere
J.T. Miller
Brennan Othmann
Gabe Perreault
Taylor Raddysh
Matt Rempe
Conor Sheary
Vincent Trochek
Mika Zibanejad
Will Borgen
Adam Fox
Vladislav Gavrikov
Vincent Iorio
Scott Morrow
Matthew Robertson
Braden Schneider
Urho Vaakanainen
Hugo Ollas
Jonathan Quick
Igor Shesterkin



Matthew Barzal
Casey Cizikas
Jonathan Drouin
Anthony Duclair
Marc Gatcomb
Emil Heineman
Simon Holmstrom
Bo Horvat
Anders Lee
Kyle MacLean
Jean-Gabriel Pageau
Ondrej Palat
Kyle Palmieri
Calum Ritchie
Max Shabanov
Adam Boqvist
Tony DeAngelo
Scott Mayfield
Adam Pelech
Ryan Pulock
Alexander Romanov
Matthew Schaefer
Carson Soucy
David Rittich
Ilya Sorokin
Semyon Varlamov



Noel Acciari
Justin Brazeau
Egor Chinakhov
Sidney Crosby
Connor Dewar
Filip Hallander
Kevin Hayes
Ben Kindel
Blake Lizotte
Evgeni Malkin
